date,population,admission,release
2023-03-10,116190.68372443822,2142.0897608355335,2302.6228579310236
2023-03-11,116138.65062734275,2250.5897608355335,1089.7061912643574
2023-03-12,116763.11753024724,1716.8397608355333,998.8728579310241
2023-03-13,117079.58443315174,1315.3397608355333,2518.9654505236167
2023-03-14,116603.15503975998,2041.2027237984962,2533.2511648093314
2023-03-15,116321.53517017771,2251.1312952270678,2369.251164809331
2023-03-16,116133.41530059544,2181.6312952270678,2309.2511648093305
2023-03-17,116033.29543101316,2210.1312952270678,2248.411164809331
2023-03-18,116087.1805614309,2301.296295227068,1088.4111648093308
2023-03-19,116648.81569184866,1651.0462952270677,1109.7224855640477
2023-03-20,116815.45082226637,1340.5462952270677,2549.9111648093312
2023-03-21,116388.08595268415,2124.0462952270677,2263.9111648093303
2023-03-22,116349.72108310189,2224.7962952270677,2457.661164809331
2023-03-23,116202.10621351963,2312.0462952270673,2374.661164809331
2023-03-24,116218.4913439373,2391.0462952270673,2117.661164809331
2023-03-25,116487.37647435509,2383.7129618937342,1126.9111648093308
2023-03-26,117118.76160477284,1758.7962952270677,1095.4111648093308
2023-03-27,117494.14673519056,1470.2962952270677,2600.8657102638767
2023-03-28,116977.62277469918,2085.3334853097126,2333.303303789232
2023-03-29,116892.11656568713,2293.6426569073456,2395.1488659194097
2023-03-30,116634.61035667507,2144.6426569073456,2323.1488659194097
2023-03-31,116434.10414766303,2117.6426569073456,2161.3155325860757
2023-04-01,116535.93127198427,2263.1426569073456,1165.5655325860764
2023-04-02,117015.75839630555,1644.5926569073458,1168.0655325860764
2023-04-03,117271.08552062685,1422.3926569073456,2775.09886591941
2023-04-04,116654.27931161472,2159.092656907346,2305.1710784629636
2023-04-05,116641.66357879317,2312.997418812107,2439.6131516336955
2023-04-06,116496.04784597155,2293.9974188121073,2436.6131516336955
2023-04-07,116416.68211315002,2357.2474188121078,1872.6131516336952
2023-04-08,116626.31638032838,2081.4974188121078,1053.5714849670287
2023-04-09,117113.1256475068,1542.0474188121075,1063.2381516336952
2023-04-10,117563.93491468523,1513.2974188121075,2496.7381516336955
2023-04-11,117240.99418186367,2174.2974188121075,2580.904818300362
2023-04-12,116954.72011570871,2294.6307521454405,2480.404818300362
2023-04-13,116740.0460495538,2265.730752145441,2461.904818300362
2023-04-14,116669.37198339887,2389.5640854787744,2225.881008776552
2023-04-15,116900.316964863,2457.683133097822,1079.2381516336952
2023-04-16,117475.76194632714,1653.8081330978218,1180.6131516336955
2023-04-17,117795.33192779124,1500.1831330978218,2763.6131516336955
2023-04-18,117194.80190925539,2163.0831330978217,2483.1131516336955
2023-04-19,116940.2718907195,2228.5831330978217,2581.1131516336955
2023-04-20,116653.24187218363,2294.0831330978217,2425.198517487354
2023-04-21,116449.24843901364,2221.205084317334,2115.198517487354
2023-04-22,116741.13595822453,2407.0860366982856,1030.198517487354
2023-04-23,117444.02347743549,1733.0860366982863,1077.198517487354
2023-04-24,117741.57766331306,1374.7527033649528,2714.698517487354
2023-04-25,117169.46518252403,2142.5860366982865,2347.778977257469
2023-04-26,117087.90442587287,2267.2124734798954,2497.2126240704265
2023-04-27,116757.13154800962,2171.874089641512,2368.1469675047692
2023-04-28,116769.05867014633,2380.0740896415114,2200.646967504769
2023-04-29,117001.9857922831,2433.574089641512,1087.1469675047695
2023-04-30,117703.74624775315,1788.9074229748453,1175.8136341714362
2023-05-01,117878.34003655656,1350.4074229748453,2776.3136341714358
2023-05-02,117171.93382535999,2069.9074229748453,2513.435856393658
2023-05-03,116830.5387252745,2295.4963118637343,2291.8914119492133
2023-05-04,116693.14362518907,2154.4963118637343,2511.391411949214
2023-05-05,116541.74852510354,2356.440756308178,2201.3914119492133
2023-05-06,116805.35342501808,2464.9963118637334,1140.7247452825472
2023-05-07,117410.62499159925,1745.4963118637343,1246.5580786158807
2023-05-08,117669.7298915138,1507.1629785304008,2644.5157393178238
2023-05-09,116814.51834107889,2078.6396316292416,2397.8511820641565
2023-05-10,116718.30679064395,2303.6396316292407,2498.2063733209875
2023-05-11,116510.87666097409,2292.22706332323,2326.3238596597844
2023-05-12,116508.11319797086,2324.72706332323,2263.157192993118
2023-05-13,116508.34973496763,2262.893729989897,1030.6571929931179
2023-05-14,117210.25293863108,1732.5603966565634,1025.2238596597845
2023-05-15,117593.88947562788,1410.52706332323,2679.8905263264514
2023-05-16,117051.02601262461,2136.360396656564,2434.0571929931184
2023-05-17,116849.99588295475,2233.527063323231,2513.0571929931184
2023-05-18,116549.96575328487,2213.0270633232303,2366.557192993118
2023-05-19,116477.43562361498,2294.0270633232303,2209.689660525585
2023-05-20,116602.50549394508,2342.22706332323,1057.0321929931179
2023-05-21,117198.07536427518,1655.2270633232301,1136.957192993118
2023-05-22,117627.87856793863,1566.7603966565634,2732.957192993118
2023-05-23,117039.18177160207,2144.260396656564,2389.957192993118
2023-05-24,116712.48497526554,2063.260396656564,2408.457192993118
2023-05-25,116595.45484559564,2291.4270633232304,2585.582192993118
2023-05-26,116379.42471592574,2370.42706332323,2147.657192993118
2023-05-27,116578.49458625584,2346.72706332323,1109.6571929931179
2023-05-28,117264.06445658598,1793.9770633232301,1174.6905263264514
2023-05-29,117610.30099358276,1520.9270633232302,1088.1905263264514
2023-05-30,118023.03753057952,1500.9270633232302,2851.769891405817
2023-05-31,117486.24232154453,2313.974682370849,2612.4365580724834
2023-06-01,117170.2804458429,2296.474682370849,2381.436558072483
2023-06-02,117155.3185701413,2364.7996823708495,2368.236558072483
2023-06-03,117258.52336110629,2471.441349037516,1152.9865580724831
2023-06-04,117898.22815207136,1792.691349037516,1114.3198914058164
2023-06-05,118283.93294303637,1500.024682370849,2714.3198914058166
2023-06-06,117703.97106733474,2136.3580157041824,2369.4627485486735
2023-06-07,117720.15204877597,2384.643729989897,2560.512748548674
2023-06-08,117517.13303021721,2358.104841101008,2376.7905263264515
2023-06-09,117505.00290054732,2364.6603966565635,2217.040526326451
2023-06-10,117687.62277087741,2399.5770633232305,1091.957192993118
2023-06-11,118302.74264120756,1705.82706332323,1272.9571929931178
2023-06-12,118482.36251153765,1454.07706332323,2617.2127485486735
2023-06-13,118040.07127075667,2174.8659522121197,2806.3238596597853
